MAT_ALU;NOME;DAT_ENTRADA;COD_CURSO;COTISTA
721;Francisco Farias;24/01/19;1;N
722;Matheus Caldeira;09/01/19;1;N
723;Daniel Cunha;25/01/19;2;N
724;Felipe Cunha;07/01/19;1;S
725;Miguel Castro;07/01/19;4;N
726;Laura Ribeiro;17/01/19;1;N
727;Marcela Gomes;11/01/19;4;N
728;Miguel Azevedo;13/01/19;5;S
729;Sophie Souza;17/01/19;1;N
730;Lucca Cunha;30/01/19;5;S
731;Ana Vitória Teixeira;27/01/19;4;N
732;Sarah Farias;05/01/19;1;S
733;Arthur Fogaça;16/01/19;4;S
734;Sabrina Duarte;23/01/19;5;N
735;Emanuella Gomes;28/01/19;4;S
736;Luiz Otávio Moreira;15/01/19;5;N
737;Lucca Monteiro;20/01/19;5;N
738;Kamilly Lima;23/01/19;5;N
739;Carlos Eduardo Barbosa;30/01/19;2;N
740;Elisa Moraes;04/01/19;2;S
741;Stephany Campos;28/01/19;1;N
742;Vitória Pereira;12/01/19;4;N
743;Letícia Porto;23/01/19;2;S
744;Cauê Aragão;28/01/19;3;N
745;João Miguel Freitas;27/01/19;3;S
746;Marcela Souza;07/01/19;4;N
747;Luiz Otávio Azevedo;28/01/19;3;N
748;Ana Laura Duarte;05/01/19;4;S
749;Diogo da Luz;11/01/19;4;N
750;Eduardo Lima;25/01/19;4;S
751;Nina Nascimento;24/01/19;3;S
752;Manuela Cavalcanti;12/01/19;4;N
753;Fernando Pereira;26/01/19;1;S
754;Dr. João Pedro Araújo;17/01/19;4;S
755;Luiz Miguel Mendes;15/01/19;3;S
756;Natália Pinto;23/01/19;5;N
757;Caroline Costela;31/01/19;6;N
758;Maria Luiza Rezende;30/01/19;2;S
759;Vitor Gabriel Farias;20/01/19;4;N
760;Davi Luiz Ribeiro;04/01/19;4;S
570;Augusto da Mata;29/01/19;6;S
571;Emilly Cunha;20/01/19;5;S
572;Lara Costela;28/01/19;6;N
573;Bianca Silveira;09/01/19;1;S
574;Breno Monteiro;29/01/19;5;N
575;Camila da Conceição;03/01/19;1;S
576;Caroline Caldeira;12/01/19;1;S
577;Nathan Dias;09/01/19;1;S
578;Levi Araújo;04/01/19;6;S
579;Ana Carolina Gonçalves;28/01/19;6;N
580;Laura Jesus;03/01/19;1;N
