MAT_ALU;DAT_ENTRADA;COD_CURSO;COTISTA;NOME
1;16/01/2019;5;S;Murilo Araújo
2;26/01/2019;2;S;Henrique Pires
3;15/01/2019;4;S;Thomas Moura
4;14/01/2019;3;N;Alexia Barros
5;25/01/2019;2;S;Murilo Nogueira
6;31/01/2019;6;N;Sabrina Almeida
7;19/01/2019;3;N;Vicente da Rosa
8;18/01/2019;6;S;Pedro Miguel da Costa
9;28/01/2019;3;N;Bruna Nogueira
10;10/01/2019;5;N;Anthony Pereira
11;27/01/2019;2;S;Benjamin da Costa
12;15/01/2019;1;S;João Guilherme da Cunha
13;17/01/2019;6;S;Matheus Carvalho
14;13/01/2019;4;N;Cauê da Mata
15;26/01/2019;1;N;André da Conceição
16;19/01/2019;5;N;Ana Laura Fernandes
17;22/01/2019;1;S;Dra. Sophie Oliveira
18;28/01/2019;5;N;Eduarda Lopes
19;19/01/2019;2;S;Cauê Gonçalves
20;28/01/2019;5;S;Gustavo Henrique Rodrigues
21;08/01/2019;2;N;Benjamin Moraes
22;12/01/2019;3;S;Ana Clara Gomes
23;06/01/2019;5;N;Fernanda da Luz
24;27/01/2019;4;S;Dr. Yuri Mendes
25;31/01/2019;2;S;Isabelly Santos
26;05/01/2019;5;N;Maria Luiza Caldeira
27;29/01/2019;4;S;Maria Fernanda Porto
28;06/01/2019;6;N;Davi Luiz Vieira
29;13/01/2019;4;S;Ana Julia Mendes
30;17/01/2019;3;N;Theo Pereira
31;25/01/2019;6;N;Isis Farias
32;15/01/2019;4;N;Vinicius das Neves
33;24/01/2019;5;N;Ana Carolina da Cruz
34;01/01/2019;6;S;Murilo Ramos
35;08/01/2019;4;N;Marcelo Campos
36;14/01/2019;5;S;Francisco Nunes
37;31/01/2019;6;N;Marina Alves
38;08/01/2019;4;N;Raul Sales
39;14/01/2019;6;N;Ana Vitória Ferreira
40;22/01/2019;1;N;Maria Vitória Santos
41;03/01/2019;4;S;Gustavo Henrique Fogaça
42;07/01/2019;2;S;Isabel da Costa
43;24/01/2019;2;S;Pedro Miguel Souza
44;03/01/2019;1;N;Marcela da Paz
45;19/01/2019;4;S;Stephany Teixeira
46;10/01/2019;5;S;Dr. Cauã Barbosa
47;12/01/2019;5;N;Nicolas Melo
48;30/01/2019;2;N;Pietro da Paz
49;24/01/2019;1;N;Mirella Moura
50;13/01/2019;5;N;Raul Silva
51;08/01/2019;3;N;Benício Azevedo
52;25/01/2019;5;N;Leonardo Cardoso
53;09/01/2019;3;N;Arthur das Neves
54;02/01/2019;5;S;Heitor Moraes
55;31/01/2019;2;N;Cauê Pires
56;20/01/2019;6;N;Sofia Costa
57;20/01/2019;3;N;Dr. Marcelo Moraes
58;23/01/2019;5;S;Lorena da Mata
59;11/01/2019;5;S;Rodrigo Melo
60;23/01/2019;6;S;Luiza Castro
61;20/01/2019;5;S;Igor Barbosa
62;02/01/2019;1;N;Davi Lucca Gonçalves
63;12/01/2019;6;S;Eloah Correia
64;07/01/2019;1;S;Lorena Mendes
65;14/01/2019;3;S;Pietro Aragão
66;29/01/2019;2;S;Yasmin Rocha
67;01/01/2019;1;N;Henrique Azevedo
68;29/01/2019;1;N;Dra. Milena Pinto
69;19/01/2019;1;S;Ana Luiza Sales
70;30/01/2019;2;N;Davi da Luz
71;23/01/2019;2;N;Beatriz Barros
72;14/01/2019;2;S;João Felipe da Rosa
73;21/01/2019;3;S;Dr. Miguel Gonçalves
74;29/01/2019;3;N;Clara Rocha
75;28/01/2019;3;S;Maria Julia Duarte
76;15/01/2019;6;N;Laura Monteiro
77;20/01/2019;6;N;Yago Castro
78;15/01/2019;4;S;Sabrina Nascimento
79;29/01/2019;2;N;Gustavo Rocha
80;15/01/2019;1;S;Murilo Lopes
81;15/01/2019;4;S;Mariana Pinto
82;25/01/2019;6;N;Marcela Caldeira
83;30/01/2019;1;S;Heitor Araújo
84;17/01/2019;1;S;Maria Julia Moreira
85;12/01/2019;3;S;Thiago Moraes
86;19/01/2019;2;S;Erick Gonçalves
87;11/01/2019;6;N;Agatha Vieira
88;12/01/2019;5;S;Dr. Otávio Rodrigues
89;23/01/2019;3;S;Bryan Peixoto
90;11/01/2019;6;S;Stephany Barbosa
91;30/01/2019;2;S;Emanuelly Fernandes
92;06/01/2019;3;S;João Vitor Monteiro
93;19/01/2019;4;S;Elisa Nascimento
94;23/01/2019;1;N;Dra. Maysa da Mota
95;14/01/2019;6;N;Thomas Almeida
96;24/01/2019;1;N;Luana Correia
97;18/01/2019;3;N;Dr. Marcos Vinicius Fogaça
98;14/01/2019;4;N;Caio Monteiro
99;04/01/2019;2;S;Lívia Porto
100;26/01/2019;4;S;Leonardo da Cruz
101;22/01/2019;3;S;Luiz Felipe Rezende
102;14/01/2019;3;S;Dr. Benjamin Costela
103;24/01/2019;3;N;Arthur da Mata
104;15/01/2019;1;N;Dra. Evelyn Carvalho
105;16/01/2019;1;N;Lara Ferreira
106;30/01/2019;6;N;Ana Beatriz da Paz
107;12/01/2019;2;N;Maria Luiza Rocha
108;11/01/2019;5;N;Dr. Arthur Ribeiro
109;30/01/2019;5;S;Marcela Pereira
110;01/01/2019;5;S;Isis Vieira
111;02/01/2019;2;S;Noah Pinto
112;24/01/2019;2;N;Luiz Henrique Caldeira
113;06/01/2019;2;S;João Guilherme Azevedo
114;27/01/2019;1;N;Evelyn Santos
115;20/01/2019;6;S;João Pedro Castro
116;11/01/2019;6;S;Nina Aragão
117;10/01/2019;2;N;Eduardo Peixoto
118;12/01/2019;6;S;Milena da Rosa
119;21/01/2019;3;S;Leonardo Fogaça
120;21/01/2019;4;S;Julia Pereira
121;18/01/2019;5;S;Ana da Cunha
122;05/01/2019;4;S;Maria Cecília Duarte
123;14/01/2019;5;N;Luiza Jesus
124;08/01/2019;2;N;Pedro Henrique Cavalcanti
125;09/01/2019;5;N;Beatriz Moreira
126;24/01/2019;2;S;Marcela Gomes
127;08/01/2019;3;N;Melissa Pires
128;08/01/2019;5;N;Carlos Eduardo Campos
129;05/01/2019;3;N;Dra. Luiza da Rosa
130;25/01/2019;2;N;Miguel Rocha
131;16/01/2019;2;S;Marina Vieira
132;05/01/2019;2;S;Sophia Moreira
133;21/01/2019;5;N;Kaique Rocha
134;16/01/2019;5;N;Kevin Castro
135;01/01/2019;3;N;Thomas Jesus
136;22/01/2019;1;S;Maria da Cunha
137;08/01/2019;1;S;Lucas Nunes
138;26/01/2019;6;S;João Guilherme Costela
139;09/01/2019;5;S;Carlos Eduardo Viana
140;04/01/2019;4;S;Ana Lívia da Conceição
141;21/01/2019;6;N;Dra. Brenda Aragão
142;14/01/2019;4;S;Levi Sales
143;11/01/2019;4;S;João Guilherme Alves
144;26/01/2019;2;S;Davi Luiz Costela
145;05/01/2019;6;S;Isadora da Conceição
146;15/01/2019;4;N;Ana Lívia Barbosa
147;12/01/2019;5;N;Isadora Cavalcanti
148;29/01/2019;2;S;Emilly Nascimento
149;28/01/2019;3;S;Maria Fernanda Pereira
150;26/01/2019;2;S;Yago da Mata
151;13/01/2019;6;S;Joana da Mota
152;04/01/2019;5;N;João Vitor Freitas
153;23/01/2019;2;N;Isabelly Rezende
154;27/01/2019;1;N;Carolina Monteiro
155;20/01/2019;1;S;João Pedro Viana
156;28/01/2019;4;N;Raul Moreira
157;12/01/2019;4;N;Catarina Duarte
158;16/01/2019;5;S;Evelyn das Neves
159;23/01/2019;2;N;Natália Cardoso
